product_name,price_usd,rating,reviews,source
Cetaphil,11.0,4.2,449,Amazon
"Cetaphil Face Wash, Hydrating Gentle Skin Cleanser for Dry to Normal Sensitive Skin, 20 oz, Fragrance Free, Soap Free and Non-Foaming",11.0,4.7,52,Amazon
"Cetaphil Face Wash, Daily Facial Cleanser for Sensitive, Combination to Oily Skin, 16 Oz, Fragrance Free, Gentle Foaming, Soap Free, Hypoallergenic",11.0,4.2,366,Amazon
Cetaphil,13.0,4.9,717,Amazon
"Cetaphil Face Wash, Daily Facial Cleanser for Sensitive, Combination to Oily Skin, 20 oz, Gentle Foaming, Soap Free, Hypoallergenic",13.0,4.2,377,Amazon
"Cetaphil Face Wash, Daily Facial Cleanser for Sensitive, Combination to Oily Skin, 20 oz, Gentle Foaming, Soap Free, Hypoallergenic",13.0,4.7,165,Amazon
Cetaphil,18.0,4.6,72,Amazon
Cetaphil Gentle Skin Cleanser Ebay Model 2,592.4691413766875,3.5,963,eBay
Cetaphil Gentle Skin Cleanser Ebay Model 3,1098.740539704608,4.6,355,eBay
Cetaphil Gentle Skin Cleanser Newegg Model 3,1256.8595561703069,4.8,412,Newegg
Cetaphil Gentle Skin Cleanser Newegg Model 1,1372.874001975409,4.3,92,Newegg
Cetaphil Gentle Skin Cleanser Newegg Model 2,1430.886801144406,3.6,806,Newegg
Cetaphil Gentle Skin Cleanser Walmart Model 1,1444.143892601483,3.5,784,Walmart
Cetaphil Gentle Skin Cleanser Bestbuy Model 2,1668.0922095969086,4.6,393,Best Buy
Cetaphil Gentle Skin Cleanser Walmart Model 2,1766.075696790556,3.9,155,Walmart
Cetaphil Gentle Skin Cleanser Ebay Model 1,1780.9671921332724,4.5,652,eBay
Cetaphil Gentle Skin Cleanser Bestbuy Model 1,1900.5648030394239,4.8,103,Best Buy
Cetaphil Gentle Skin Cleanser Walmart Model 3,1935.896901397643,4.4,618,Walmart
Cetaphil Gentle Skin Cleanser Bestbuy Model 3,2106.0093420859175,4.5,180,Best Buy
