product_name,price_usd,rating,reviews,source
Noise headphones Ebay Model 3,812.7387475209948,3.5,941,eBay
Noise headphones Newegg Model 2,887.5500539453399,4.4,545,Newegg
Noise headphones Newegg Model 1,1047.1942717241834,3.7,632,Newegg
Noise headphones Bestbuy Model 3,1311.8732552138172,4.2,372,Best Buy
Noise headphones Ebay Model 1,1350.7791164469572,3.9,263,eBay
Noise headphones Walmart Model 2,1416.0935901214618,4.1,365,Walmart
Noise headphones Walmart Model 1,1429.6750673627462,4.8,202,Walmart
Noise headphones Ebay Model 2,1555.037925443681,3.9,63,eBay
Noise headphones Newegg Model 3,1940.25222979588,4.7,115,Newegg
Noise headphones Walmart Model 3,1966.3279930845383,4.8,226,Walmart
Noise headphones Bestbuy Model 2,1997.4545848497837,3.9,932,Best Buy
Noise headphones Bestbuy Model 1,2187.177802176564,4.9,469,Best Buy
