product_name,price_value,currency_symbol,source,rating,reviews
Samsung Galaxy Watch8,11.11,$,T-Mobile,4.7,1700
GTS5 IP68 Waterproof Smart Watch with Bluetooth Call,17.99,$,Walmart - Xin Xin Bai,3.2,459
"Men's Smart Watch with 1.39"" HD Screen and Bluetooth Calling",21.49,$,Walmart - IKT-US,4.6,338
Mingdaln Smartwatch,22.19,$,"Walmart - Kaqila Technology Co., Ltd.",4.0,3900
"1.85-Inch Men's Military Smartwatch with Answer/Call, 100+ Sport Modes",25.99,$,"Walmart - Dongguan Xinyi Intelligent Technology Co., Ltd.",3.3,3
"Sta Smart Watch,IP68 Waterproof Smartwatch for Women Men 180+ Sports Modes,2.01-inch Fitness Tracker with Bluetooth Call Sta",26.99,$,Walmart - US-oke18,4.2,15
Apple Watch Ultra 2 49mm Titanium,33.33,$,T-Mobile,4.7,6000
Blackview W60 2024 New Smartwatch 2.01'' HD Display TFT Rugged Smart Watch for Outdoor,35.99,$,Bikeinn.com,4.7,163
"Blackview Men's 1.45-inch Military Smartwatch with Call, Sport, and Pedometer",35.99,$,Walmart - Seller,4.901129095354381,141
TOZO S7 Smartwatch,39.99,$,TOZO,4.7,305
iTouch Sport 4 Smartwatch,49.99,$,Target,3.4,201
CMF Watch Pro 2,55.0,$,Nothing US,4.6,2200
Adult iTouch Air 4 Smartwatch,59.99,$,Macy's,3.3,322
Amazfit Bip 5,69.99,$,Walmart,4.8,5100
Fossil Gen 5 Carlyle Stainless Steel Smartwatch,75.99,$,eBay - r3newtech,3.9,2100
Amazfit Active Smart Watch,84.99,$,Amazfit,4.8,1400
Amazfit Active 2 Smart Watch,89.99,$,Walmart - Amazfit,4.8,1900
Kospet Tank T3 Smartwatch,99.99,$,Kospet US,4.7,312
Apple Watch Series 7 Aluminum,107.5,$,eBay - techtreewireless,4.4,47000
"Motorola Moto Watch 120 1.43"" AMOLED Bluetooth AI Smartwatch",109.9,$,eBay - focuscamera,4.1,41
Alpha Smartwatch,129.95,$,Alpha Gear US,4.8,655
Commander Smartwatch,129.95,$,Alpha Gear US,4.4,427
Carbinox Blaze Type R Waterproof Fitness Tracker Smartwatch,139.95,$,Carbinox,4.6,110
Fitbit Versa 4 Fitness Smartwatch,199.95,$,Google Store,4.2,6000
Garmin Vivoactive 5,219.99,$,Best Buy,4.7,6800
OnePlus Watch 2,224.99,$,Bikeinn.com,4.8,242
TicWatch Atlas Smartwatch,227.49,$,Mobvoi,4.4,18
Samsung Galaxy Watch7,239.99,$,Samsung,4.5,15000
Apple Watch SE Aluminum Case Sport Band,249.0,$,Best Buy,4.4,16000
Fitbit Sense 2 Advanced Health Smartwatch,249.95,$,Google Store,4.2,3400
Samsung Galaxy Watch FE 40mm,249.99,$,Best Buy,4.2,22000
Garmin Venu Sq 2 Smartwatch,249.99,$,Best Buy,4.7,2300
Garmin Lily 2 Smartwatch,249.99,$,Garmin - United States,4.5,1200
Google Pixel Watch 3,249.99,$,Google Store,4.6,1200
Amazfit T-Rex 3 Smart Watch,279.99,$,Walmart - Amazfit,4.8,4200
Withings ScanWatch 2,299.95,$,Withings,4.4,699
OnePlus Watch 2,299.99,$,OnePlus Official Store,4.8,242
Amazfit Balance 2 Smart Watch,299.99,$,Walmart - Amazfit,4.8,275
Garmin vivoactive 6 Smartwatch,299.99,$,Garmin - United States,4.7,516
Apple Watch Series 10 Aluminum,399.0,$,Best Buy,4.8,18000
Garmin Venu 3S,399.99,$,Garmin - United States,4.7,3800
Samsung Galaxy Watch8 Classic 46mm,499.99,$,Samsung,4.7,2400
Samsung Galaxy Watch Ultra LTE Titanium,649.99,$,Samsung,4.7,9800
