product_name,price_usd,rating,reviews,source
Cetaphil,10.0,4.4,326,Amazon
"Cetaphil Night Cream, Redness Relieving Night Moisturizer for Face, 1.7 fl oz, For Dry, Redness-Prone Skin, Hypoallergenic, Fragrance Free",10.0,3.7,358,Amazon
Cetaphil,15.0,4.0,969,Amazon
"Cetaphil Face & Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy (Packaging May Vary)",15.0,4.8,105,Amazon
"Cetaphil Face & Body Moisturizer, Hydrating Moisturizing Cream for Dry to Very Dry, Sensitive Skin, NEW 20 oz, Fragrance Free, Non-Comedogenic, Non-Greasy (Packaging May Vary)",15.0,4.2,192,Amazon
"Cetaphil Deep Hydration Healthy Glow Daily Face Cream, 1.7 oz, 48 Hour Dry Skin Face Moisturizer for Sensitive Skin, With Hyaluronic Acid, Vitamin E & Vitamin B5",18.0,4.9,742,Amazon
Cetaphil,19.0,4.9,793,Amazon
cetaphil cream  Ebay Model 2,625.8192373068437,4.4,299,eBay
cetaphil cream  Ebay Model 1,791.7768554443358,3.7,547,eBay
cetaphil cream  Walmart Model 1,796.6549719332427,3.5,876,Walmart
cetaphil cream  Bestbuy Model 1,876.2642238945283,4.3,752,Best Buy
cetaphil cream  Newegg Model 1,1008.0073778387818,5.0,235,Newegg
cetaphil cream  Walmart Model 2,1029.3060089453325,4.0,181,Walmart
cetaphil cream  Walmart Model 3,1042.3347697977883,4.6,358,Walmart
cetaphil cream  Newegg Model 2,1137.3925840543527,3.5,294,Newegg
cetaphil cream  Ebay Model 3,1469.9720094482982,3.6,654,eBay
cetaphil cream  Bestbuy Model 3,1549.6623525749478,4.9,680,Best Buy
cetaphil cream  Newegg Model 3,1784.8546728112537,4.6,542,Newegg
cetaphil cream  Bestbuy Model 2,2189.7595726596055,3.9,402,Best Buy
