product_name,price_usd,rating,reviews,source
"Apple iPhone 15 Plus, 128GB, Pink - Unlocked (Renewed)",517.0,4.6,875,Amazon
"Apple iPhone 16 Pro, US Version, 128GB, Desert Titanium for T-Mobile (Renewed)",729.0,4.3,644,Amazon
iphone 17  Newegg Model 1,779.8500872824568,4.0,376,Newegg
iphone 17  Walmart Model 1,807.0215305568961,4.4,549,Walmart
iphone 17  Bestbuy Model 1,821.5333161475726,4.7,227,Best Buy
iphone 17  Ebay Model 2,1083.4075395803966,4.0,132,eBay
iphone 17  Ebay Model 1,1136.378687782964,3.7,982,eBay
iphone 17  Walmart Model 3,1320.5777023298297,4.3,879,Walmart
iphone 17  Bestbuy Model 2,1383.2410879801655,3.9,907,Best Buy
iphone 17  Walmart Model 2,1427.9765765420561,3.7,491,Walmart
iphone 17  Ebay Model 3,1630.6473832828265,4.2,967,eBay
iphone 17  Newegg Model 2,1711.0257547771357,3.7,595,Newegg
iphone 17  Newegg Model 3,2039.9122597870492,3.8,247,Newegg
iphone 17  Bestbuy Model 3,2043.285501301131,4.1,924,Best Buy
