product_name,price_usd,rating,reviews,source
"Dell Chromebook 3100 11.6"" HD, Celeron N4000 1.1GHz, 4GB RAM, 16GB Solid State Drive, Chrome OS 64Bit, CAM (Renewed)",49.0,4.2,121,Amazon
"Lenovo 100E Chromebook 2ND Gen 81QB000AUS Laptop Computer, 11.6"" HD (1366 X 768) Display, MediaTek MT8173C Processor, 4GB RAM, 16GB eMMC TLC SSD, Powervr GX6250, Chrome OS, Black (Renewed)",56.0,3.9,657,Amazon
laptop under 60k  Walmart Model 1,783.7682557848384,4.2,975,Walmart
laptop under 60k  Ebay Model 2,815.3170678168872,5.0,849,eBay
laptop under 60k  Newegg Model 3,829.4245664062453,4.0,582,Newegg
laptop under 60k  Newegg Model 1,1365.9964108963195,4.1,608,Newegg
laptop under 60k  Walmart Model 3,1405.4817993378451,4.6,547,Walmart
laptop under 60k  Bestbuy Model 3,1431.118855851357,4.8,717,Best Buy
laptop under 60k  Newegg Model 2,1473.9268510044685,4.8,643,Newegg
laptop under 60k  Ebay Model 1,1591.1660265547036,4.8,810,eBay
laptop under 60k  Ebay Model 3,1599.3496094624475,3.7,398,eBay
laptop under 60k  Walmart Model 2,1640.7380838785584,3.7,559,Walmart
laptop under 60k  Bestbuy Model 2,1997.180680633849,3.5,715,Best Buy
laptop under 60k  Bestbuy Model 1,2064.0385395145995,3.8,467,Best Buy
