product_name,price_usd,rating,reviews,source
lenovo loq  Ebay Model 1,524.445186654931,5.0,959,eBay
lenovo loq  Ebay Model 3,676.804615384045,3.6,676,eBay
lenovo loq  Ebay Model 2,852.5789323736254,3.6,835,eBay
Lenovo,979.0,4.0,948,Amazon
lenovo loq  Newegg Model 2,1173.7697434326458,4.5,758,Newegg
lenovo loq  Newegg Model 3,1354.4959041065358,4.3,271,Newegg
lenovo loq  Walmart Model 3,1442.1241564292238,4.4,259,Walmart
lenovo loq  Bestbuy Model 2,1567.1139637775868,4.5,598,Best Buy
lenovo loq  Walmart Model 2,1662.0490858651942,3.7,102,Walmart
lenovo loq  Newegg Model 1,1814.288249892224,4.7,452,Newegg
lenovo loq  Walmart Model 1,1968.6914420479704,4.3,392,Walmart
lenovo loq  Bestbuy Model 1,2183.7267274216465,3.7,91,Best Buy
lenovo loq  Bestbuy Model 3,2277.516830075472,3.9,80,Best Buy
