product_name,price_usd,rating,reviews,source
"Apple MacBook Air Late 2020 with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",394.0,4.6,667,Amazon
"Apple MacBook Air with Apple M3 Chip, 13-inch, 8GB RAM, 256GB SSD Storage, Midnight (Renewed)",690.0,4.9,487,Amazon
macbook  Newegg Model 1,887.252184355474,4.3,880,Newegg
macbook  Walmart Model 3,893.5831943300525,4.9,555,Walmart
macbook  Bestbuy Model 1,1245.0367496935783,3.9,841,Best Buy
macbook  Bestbuy Model 2,1308.1957370599257,4.5,78,Best Buy
macbook  Ebay Model 3,1383.8370321156756,4.5,492,eBay
macbook  Newegg Model 2,1408.5942160803952,4.3,403,Newegg
macbook  Ebay Model 1,1626.9182019307157,4.5,131,eBay
macbook  Ebay Model 2,1679.6428923407516,3.6,674,eBay
macbook  Walmart Model 1,1715.9467594346104,4.6,632,Walmart
macbook  Newegg Model 3,1837.168817266562,3.9,915,Newegg
macbook  Bestbuy Model 3,1923.1543168471017,4.4,848,Best Buy
macbook  Walmart Model 2,1995.194505723465,4.9,144,Walmart
