product_name,price_usd,rating,reviews,source
"Samsung Galaxy A14 5G Unlocked, 6.6-Inch Infinity-V Display, 1080x2408 FHD+, PLS LCD, Android 13, One UI Core 5, Bluetooth 5.2, 64GB ROM, 4GB RAM, Expandable MicroSD",88.0,4.4,873,Amazon
"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",97.0,4.6,78,Amazon
"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",180.0,4.2,911,Amazon
samsung f14 5g  Newegg Model 1,743.1848097519575,3.9,275,Newegg
samsung f14 5g  Ebay Model 1,843.2786348435011,4.5,282,eBay
samsung f14 5g  Walmart Model 3,1174.936899707534,4.7,869,Walmart
samsung f14 5g  Ebay Model 2,1367.4145159244563,4.7,230,eBay
samsung f14 5g  Walmart Model 2,1459.3085071337737,4.5,759,Walmart
samsung f14 5g  Bestbuy Model 1,1511.4702102951683,4.8,109,Best Buy
samsung f14 5g  Walmart Model 1,1579.5611592455741,4.9,266,Walmart
samsung f14 5g  Newegg Model 3,1664.5309047339197,4.0,330,Newegg
samsung f14 5g  Ebay Model 3,1667.4819326326415,4.8,444,eBay
samsung f14 5g  Bestbuy Model 3,1773.3385172918347,4.6,664,Best Buy
samsung f14 5g  Bestbuy Model 2,2091.449432731916,4.9,99,Best Buy
samsung f14 5g  Newegg Model 2,2181.522081385329,4.0,960,Newegg
