product_name,price_usd,rating,reviews,source
"Tracfone Moto G Play (2023) [Activation Promotion], 32GB, Blue, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan - Prepaid Smartphone",49.0,4.2,70,Amazon
Motorola Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,139.0,4.6,679,Amazon
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Light Gray",198.0,3.7,493,Amazon
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,249.0,3.7,923,Amazon
smartphone  Walmart Model 1,707.8825739855723,3.7,616,Walmart
smartphone  Ebay Model 1,894.2282716155843,3.9,391,eBay
smartphone  Newegg Model 3,907.4233353094859,4.9,215,Newegg
smartphone  Bestbuy Model 1,1023.4246749632025,3.6,612,Best Buy
smartphone  Walmart Model 2,1025.8570201023342,3.6,401,Walmart
smartphone  Newegg Model 1,1217.0713375102105,4.2,905,Newegg
smartphone  Ebay Model 3,1276.5227933457409,4.2,979,eBay
smartphone  Ebay Model 2,1277.896152229147,4.9,558,eBay
smartphone  Bestbuy Model 3,1562.5621705667413,3.6,910,Best Buy
smartphone  Bestbuy Model 2,1588.2747820639752,4.6,415,Best Buy
smartphone  Walmart Model 3,1775.696810863493,4.9,781,Walmart
smartphone  Newegg Model 2,2118.31494965223,3.5,861,Newegg
