product_name,price_value,currency_symbol,source,rating,reviews
Samsung Galaxy Watch8,11.11,$,T-Mobile,4.7,1700
Apple Watch Series 10 Aluminum,20.83,$,T-Mobile,4.8,18000
Mingdaln Smartwatch,22.19,$,"Walmart - Kaqila Technology Co., Ltd.",4.0,3900
3PL-Mega Smartwatch with Bluetooth Calling,22.89,$,eBay - thedealstore1414,4.0,62
Adult iTouch Air 4 Smartwatch,29.99,$,BJ's Wholesale Club,3.3,322
Men's Itech Bold 3 Unisex Adult Smart Watch,39.98,$,Walmart,3.7,20
Itech Elite 3 Unisex Adult Round Smart Watch,39.98,$,Walmart,3.9,29
iTouch Sport 4 Smartwatch,49.99,$,Target,3.4,201
Gard Pro Health Smartwatch 2 Fitness Sports Watch,69.99,$,Gard Pro,4.2,8600
Amazfit Bip 5,69.99,$,Walmart,4.8,5100
Amazfit Bip 6 Smartwatch,79.99,$,Best Buy,4.8,1900
Amazfit Active Smart Watch,84.99,$,Target,4.8,1400
Amazfit Active 2 Smart Watch,99.99,$,Best Buy,4.8,1900
Samsung Galaxy Watch6 Classic,129.0,$,Walmart,4.5,9800
Commander Smartwatch,129.95,$,Alpha Gear US,4.4,427
Garmin Forerunner 55,177.99,$,Best Buy,4.7,8400
Apple Watch SE Aluminum Case Sport Band,189.0,$,Walmart,4.4,16000
Fitbit Versa 4 Fitness Smartwatch,199.95,$,Google Store,4.2,6000
Garmin Vivoactive 5,219.99,$,Best Buy,4.7,6800
OnePlus Watch 2,224.99,$,Bikeinn.com,4.8,242
COROS Pace 3 GPS Sport Watch,229.0,$,REI,4.9,2900
Garmin Instinct 2S,230.0,$,Walmart,4.5,991
Fitbit Sense 2 Advanced Health Smartwatch,249.95,$,Best Buy,4.2,3400
Fitbit Sense 2 Advanced Health Smartwatch,249.95,$,Google Store,4.2,3400
Garmin Lily 2 Smartwatch,249.99,$,Best Buy,4.5,1200
Samsung Galaxy Watch FE 40mm,249.99,$,Best Buy,4.2,22000
Samsung Galaxy Watch5,269.0,$,eBay,4.3,26000
Amazfit T-Rex 3 Smart Watch,279.0,$,Walmart,4.8,4200
Samsung Galaxy Watch7,279.99,$,Best Buy,4.5,15000
Google Pixel Watch 3,299.0,$,Walmart,4.6,1200
Withings ScanWatch 2,299.95,$,Withings,4.4,699
Garmin Instinct E 45mm Rugged Outdoor GPS Smartwatch,299.99,$,Garmin - United States,4.4,121
Amazfit Balance 2 Smart Watch,299.99,$,Walmart - Amazfit,4.8,275
Garmin vivoactive 6 Smartwatch,300.0,$,REI,4.7,516
Garmin Venu 3S,399.99,$,Walmart,4.7,3800
Garmin - Venu 3 GPS Smartwatch 45 mm Fiber-reinforced polymer - Stainless Steel and Black - (2023),399.99,$,Best Buy,4.6,3100
Garmin Instinct 3,499.99,$,Garmin - United States,4.8,1200
Samsung Galaxy Watch8 Classic 46mm,549.99,$,Samsung,4.7,2400
Garmin Forerunner 570,549.99,$,Garmin - United States,4.8,294
Garmin Forerunner 965,599.99,$,Best Buy,4.8,4200
Samsung Galaxy Watch Ultra LTE Titanium,649.99,$,Samsung,4.7,9800
Garmin Venu X1 Smartwatch,799.99,$,Garmin - United States,4.7,201
Apple Watch Ultra 2 49mm Titanium,899.0,$,University of Florida Bookstore,4.7,6000
