product_name,price_inr,source,rating,reviews
Dawn Ultra Dish Liquid Soap,0.99,Walgreens.com,4.7,68000
Camay Clasico Bar Soap,1.29,Walgreens.com,4.4,185
Dove Sensitive Skin Beauty Bar,1.5,Walmart,4.7,46000
Basis Bar Sensitive Skin,1.97,Walmart,4.7,775
Equate Clear Liquid Hand Soap,2.97,Walmart,4.4,1200
Grandpa's Soap Company Bar Soap Witch Hazel 4.25 oz,3.49,ShopRite,4.9,33
Dial Antibacterial Deodorant Bar Soap Gold,4.48,Walmart,4.5,10000
Irish Spring Deodorant Bar Soap Original,4.49,CVS Pharmacy,4.3,34000
Jukebox Lavender Fields Forever Bar Soap,4.97,Walmart,4.8,248
Jukebox Mango No. 5 Natural Bar Soap,4.97,Walmart,4.8,117
Jukebox Paint It Natural Body Soap,4.97,Walmart,4.8,244
Dr Bronner's Pure Castile Bar Soap,4.98,Walmart,4.8,9900
Nudy Rudy Killa Vanilla Bar Soap,4.99,ShopRite,4.6,41
ONE WITH NATURE Dead Sea Salt Soap,4.99,Healthquest Vitamins,4.7,1200
B&J The Masters Hand Soap Bar,5.63,Blick Art Materials,4.8,111
Shea Moisture African Black Bar Soap,5.98,Walmart,4.5,19000
Irish Spring Aloe Mist Deodorant Bar Soap for Men,5.99,Walgreens.com,4.3,10000
Irish Spring Moisture Blast Deodorant Bar Soap,5.99,Walgreens.com,4.3,11000
Mrs. Meyer's Clean Day Lavender Bar Soap,5.99,Ace Hardware,4.6,434
Duke Cannon Big Ass Lump of Coal Soap,5.99,ShopRite,4.8,343
Olay Moisture Ultra Shea Butter Beauty Bar,6.47,Walmart,4.6,2300
Pre de Provence Aloe Enriched Bar Soap,6.5,Merlin Chemists,4.842221176571899,893
Caress Bar Soap Shea Butter & Brown Sugar,6.79,ShopRite,4.6,186
Dr. Squatch Bar Soap Coconut Castaway,6.98,Walmart,4.4,258
World Market Lemon Italian Vegetable Soap,6.99,World Market,4.7,59
Safeguard Bar Soap with Aloe 3.2 oz (8 Count),7.49,ShopRite,4.8,631
Dove Purely Pampering Beauty Bar Shea Butter 4 oz Bars,7.97,Walmart,4.6,7700
World Market Botanical Glycerin Aloe Vera Bar Soap Collection,7.99,World Market,5.0,1
Duke Cannon Big Ass Brick of Bay Rum Soap,7.99,Kohl's,4.6,1400
Zest Aqua Bar Soap,8.29,Target,4.3,653
Lever 2000 Bar Soap Original,8.59,Target,4.0,9200
Ivory Bar Soap Original,9.29,CVS Pharmacy,4.4,11000
Dove Beauty Bar Original,10.0,Walgreens.com,4.6,84000
Herbivore Bamboo Charcoal Cleansing Bar Soap,11.0,C.O. Bigelow,4.5,420
L'Occitane Shea Verbena Extra-Gentle Soap,11.0,Nordstrom Rack,4.7,2000
Dr Bronner's Pure Castile Liquid Soap,11.98,Walmart,4.8,26000
Dove Purely Pampering Beauty Bar Shea Butter,12.19,CVS Pharmacy,4.6,22000
Dial Antibacterial & Sensitive Aloe Scent Bar Soap,12.99,BJ's Wholesale Club,4.8,111
Caswell Massey Oaire Bar Soap,16.0,Pasteur Pharmacy,3.8,9
Caswell-Massey Sandalwood Explorer Soap Set,36.0,Macy's,4.8,277
